groupIDs,para.p2.meanAmp.contra,rand.p2.meanAmp.contra,orth.p2.meanAmp.contra,para.p3.meanAmp.CPz,rand.p3.meanAmp.CPz,orth.p3.meanAmp.CPz,jit_deg_para,jit_deg_para,jit_deg_para,conmod_para,conmod_orth
1,2.239660082,2.383773616,2.960128854,1.020806,1.169349,0.70266,15.52040816,18.81818182,24.49038462,-3.3,5.67
1,2.330769441,1.300569963,2.032171195,1.395495,1.973457,1.100089,16.70192308,14.32653061,10.38461538,2.38,-3.94
1,2.506065094,2.411969577,2.449219308,3.262684,3.041793,2.256772,7.29,7.216981132,12.70588235,0.07,5.49
1,1.258491797,0.9660075237,1.957675598,3.648979,4.422256,3.546944,10.14705882,12.97058824,18.9,-2.82,5.93
1,-4.003350017,-3.377072592,-3.497097278,1.299426,0.534475,-0.0579,12.87,18.08490566,21.44117647,-5.21,3.36
1,0.600582111,0.9085397073,1.546525587,0.901132,1.326395,0.674341,7.323529412,7.442307692,15.66,-0.12,8.22
1,0.592347662,-0.2949067683,1.75757157,4.800165,4.780376,4.075749,15.8877551,15.44117647,18.61764706,0.45,3.18
1,1.868684162,1.00943376,1.08799081,1.186535,1.711464,1.293027,9.970588235,12.97058824,15.57692308,-3,2.61
1,0.5036133856,1.155693825,0.1221063701,1.726245,2.967086,2.0158,7.29,12.97058824,12.80769231,-5.68,-0.16
1,2.438806935,0.6516804263,1.105107503,1.895368,1.746216,1.270628,9,9,18,0,9
1,5.049965141,5.982934552,4.700507373,1.74844,2.987588,2.635474,13.5,13.5,13.5,0,0
1,4.25323893,3.84320519,5.508933351,1.693287,1.198597,1.642299,29.4,32.175,32.97540984,-2.78,0.8
1,-2.040120186,0.3105998877,1.667559072,1.846822,1.040687,0.650268,13.06730769,15.66,21.5,-2.59,5.84
1,-1.727994979,-0.8340241137,-1.859238511,2.42594,2.70417,0.880058,10.03846154,18.45,21.03061224,-8.41,2.58
1,1.97545151,2.197101964,1.816057257,1.652024,2.248571,1.055232,18.25,18.77884615,24.66,-0.53,5.88
1,2.694339717,4.076330078,4.099972791,0.970278,1.016798,0.83617,18.45,18.61764706,23.4,-0.17,4.78
1,-0.3783731899,0.4702133905,0.09720358175,1.899201,0.86544,-0.20935,10.19387755,20.59615385,20.59615385,-10.4,0
1,1.277513107,0.6143000414,0.1660971192,2.116507,0.823476,0.609923,12.97058824,21.11538462,20.91176471,-8.14,-0.2
1,-1.313238533,-1.580563667,-1.468411872,0.188493,0.888656,0.602292,7.323529412,9.833333333,10.14705882,-2.51,0.31
1,0.2381809203,-0.1609873248,-1.108684898,0.510913,0.637773,0.521861,7.29,7.442307692,7.182692308,-0.15,-0.26
1,2.476211482,1.316743846,1.80578394,0.242012,0.06539,0.278997,7.411764706,9.9,7.333333333,-2.49,-2.57
1,2.494423927,3.581220719,1.867670439,1.407777,1.422875,1.772732,19.05882353,21.03061224,21.63461538,-1.97,0.6
1,-1.30203539,0.6849096332,1.175070298,0.613695,0.221341,0.215769,20.25,25.85294118,21.24,-5.6,-4.61
1,3.395203057,3.121341859,4.026297504,0.667893,0.72884,1.841055,14.58,17.08163265,7.235294118,-2.5,-9.85
1,2.991330736,3.765686469,3.801388807,0.592941,0.0556,0.341153,13.93269231,15.24489796,12.97058824,-1.31,-2.27
1,4.328510972,5.493041178,4.929331299,1.563257,0.885499,0.71991,11.47959184,19.83673469,18.50943396,-8.36,-1.33
1,1.508663404,1.809434899,1.691789288,3.080266,2.420018,1.6706,14.53846154,22.68,18.34615385,-8.14,-4.33
3,-0.199249699,0.6793778623,1.460687149,0.502731,0.562262,0.413575,10.38461538,12.97058824,16.02,-2.59,3.05
3,0.06336473272,0.1158981985,0.0173209881,1.266337,1.558637,0.666728,9.9,9.970588235,18.17647059,-0.07,8.21
3,-3.291711022,-1.824326709,-0.5729782228,1.364499,0.822041,0.401986,17.40566038,22.5,23.64705882,-5.09,1.15
3,-1.377170674,-0.8462513554,-1.297729699,-0.64222,0.422374,-0.63053,10.14705882,15.57692308,21.5,-5.43,5.92
3,-2.776591894,-2.983965915,-1.752946398,1.222927,1.298135,0.987274,12.80769231,15.66,21.78,-2.85,6.12
3,-2.200580124,-2.441210437,-1.800288428,0.87439,0.495668,0.636184,17.11764706,28.27358491,26.65384615,-11.16,-1.62
3,0.2227042617,0.443062099,-0.1066551568,1.041029,1.066292,1.257015,10.08,12.6,10.21153846,-2.52,-2.39
3,-0.1145600802,0.1568627492,-0.2748560658,0.641702,0.448944,0.583673,15.44117647,18.61764706,18.50943396,-3.18,-0.11
3,2.86740957,3.112829586,3.650141977,1.673338,1.64654,1.199308,13.5,18,22.5,-4.5,4.5
3,2.427380383,2.09038244,1.678120333,0.381815,0.337151,-0.31358,12.70588235,18.66666667,21.375,-5.96,2.71
3,2.677376386,2.890623827,1.822888098,4.873365,3.291267,1.785171,9.933962264,16.02,20.59615385,-6.09,4.58
3,1.61822335,2.125921873,1.535293183,1.50784,1.149036,0.800767,21.24,24.26470588,24.11320755,-3.02,-0.15
3,0.6267736957,2.039466348,0.4033074069,0.89885,0.099374,0.693531,10.21153846,23.78571429,21.44117647,-13.57,-2.34
3,0.1939851327,1.004872817,1.10556053,0.421081,0.782549,0.308647,12.90566038,10.08,15.3,2.83,5.22
3,2.434709768,2.163099757,4.056410041,1.226752,1.276418,1.404731,9.970588235,10.26,13.14,-0.29,2.88
3,1.987426791,2.233469041,2.56576281,1.266716,0.504879,1.221922,10.08,15.79411765,24.26470588,-5.71,8.47
3,0.1000933715,-0.58296857,0.113914163,2.811255,2.451325,1.41761,7.269230769,15.5,21.63461538,-8.23,6.13
3,2.38194382,3.546685477,0.6842858514,1.209601,2.13984,0.407792,15.23076923,21.11538462,19.21153846,-5.88,-1.9
3,-0.8313047249,-0.241196524,-0.4715585426,1.072661,1.361917,1.04848,13.14,13.14,22.15384615,0,9.01
3,-3.522636636,-4.288498009,-3.663160539,1.083918,0.703668,0.015209,11.54716981,17.22115385,15.66,-5.67,-1.56
3,-3.249659304,-3.370316907,-2.174636732,0.92071,0.492866,0.101076,14.36538462,26.26530612,24.70754717,-11.9,-1.56
3,0.665795631,1.548399848,1.623161246,-0.00358,0.289677,-0.042,11.29411765,26.28,15.79411765,-14.99,-10.49
3,0.1617426176,0.6762912616,1.096444545,0.705101,0.668302,0.555473,22.75471698,28.86792453,24.42857143,-6.11,-4.44
5,6.063570115,4.897321343,6.273333613,5.892809,6.28647,5.744066,15.3,22.15384615,21.44117647,-6.85,-0.71
5,0.6712418807,1.028900346,0.965283542,0.905557,0.931309,0.60937,19.41176471,20.64705882,23.64705882,-1.24,3
5,2.507002025,1.629594893,1.610019586,2.409691,2.630198,1.536561,12.97058824,17.91346154,25.09615385,-4.94,7.18
5,3.325686423,3.168685706,2.913501559,2.334679,1.852371,1.648281,15.36792453,20.91176471,18.61764706,-5.54,-2.29
5,-2.380640619,-1.612952466,-1.422759916,4.358445,3.245243,1.60061,18.66666667,21.375,23.88461538,-2.71,2.51
5,-0.5535760227,-0.5560062269,0.8982111235,6.772975,5.442906,4.192375,9.865384615,18.2755102,21.44117647,-8.41,3.17
5,-2.031201585,-2.180424772,-1.306151823,1.985668,1.576643,1.309285,16.02,18.61764706,25.09615385,-2.6,6.48
5,3.59169317,3.754198278,3.681196152,1.722852,2.124697,1.497732,15.92307692,21.44117647,19.05882353,-5.52,-2.38
5,1.985614852,1.751930937,1.700730527,3.375476,2.156569,2.580336,15.5,18.45,21.11538462,-2.95,2.67
5,-1.939247186,-1.136347874,-1.814825241,3.132599,2.162109,1.691602,15.70754717,24.66,26.65384615,-8.95,1.99
5,3.140390572,2.580061169,3.733017923,1.747748,1.719128,0.979407,16.02,18.34615385,24.49038462,-2.33,6.14
5,-1.096280715,-0.7365281814,-1.077619705,1.507469,1.168493,0.659865,10.21153846,18.17647059,18.73469388,-7.96,0.56
5,1.98186943,2.619190335,2.4565766,2.019245,2.487842,1.820166,12.70588235,15.52040816,23.88461538,-2.81,8.36
5,-0.7762974679,0.2839323058,2.112513338,3.105658,1.525648,2.447558,13,18.50943396,21.24,-5.51,2.73
5,0.6676869911,0.4082166276,0.05073986843,1.133841,0.841107,1.243839,22.15384615,20.59615385,21.03061224,1.56,0.43
5,2.90843923,3.913038933,4.182212214,3.63474,2.602392,1.927887,10.03846154,19.35849057,21.58163265,-9.32,2.22
5,0.7909978226,2.526592799,0.9108229723,3.95139,2.975188,3.576235,10.08,15.70754717,25.30188679,-5.63,9.59
5,2.070791211,1.744659885,3.783202663,1.891215,1.085727,1.330197,12.28846154,21.97058824,21.44117647,-9.68,-0.53
5,3.925805656,3.54213404,3.690326309,0.583498,0.375078,0.742607,7.2,7.38,12.70588235,-0.18,5.33
5,1.214750422,1.921504686,0.1180361497,6.546942,6.157804,7.107888,10.14705882,15.57692308,16.04716981,-5.43,0.47
5,-2.024330493,-0.4462680582,-0.4586399867,3.853033,2.76241,1.911614,12.80769231,21.44117647,24.66,-8.63,3.22
5,4.17375178,4.192543312,4.69496592,0.162656,-0.08123,0.178614,12.90566038,21.375,26.91509434,-8.47,5.54
5,-0.09580418077,-0.2405484463,-0.3167831515,1.536967,1.080937,1.479525,15.66,24.11320755,18.45,-8.45,-5.66
5,-0.3057028609,0.5553731027,1.30285154,1.232854,0.887245,0.6137,12.70588235,15.75,15.79411765,-3.04,0.04
5,11.41193137,9.362593282,10.94209744,4.574372,3.923916,3.545574,7.269230769,18.61764706,21.63461538,-11.35,3.02
5,0.8479202539,0.8813876837,1.506370033,4.015263,3.297978,3.547604,16.02,24.49038462,26.65384615,-8.47,2.16
5,-1.838014798,-1.371721367,0.4822189113,2.253528,2.40739,1.403677,10.01020408,13.16037736,20.80188679,-3.15,7.64
5,4.003781947,3.587785536,4.953173349,2.218151,2.026054,1.470994,18.45,21.24,26.65384615,-2.79,5.41
5,2.112118549,1.796241528,1.72840774,3.080735,2.353903,2.839959,13.04081633,18.34615385,18.66666667,-5.31,0.32
5,1.039611619,2.50431377,0.3275537602,4.156022,4.225312,2.215524,21,26.54081633,29.42307692,-5.54,2.88
5,2.414630759,3.355084134,4.433804624,3.410295,3.038915,2.229277,12.9375,21.5,27.54,-8.56,6.04
5,-0.3874338388,-1.080386402,0.5313615324,6.372203,4.523313,5.537271,16.14705882,21,18.73469388,-4.85,-2.27
5,1.488980307,3.02679674,2.538574089,2.674739,2.916603,3.300522,13.14,12.80769231,15.66,0.33,2.85
5,0.5312466579,0.6988718214,0.3997056563,0.970874,0.089531,0.288876,25.96153846,25.70192308,23.64705882,0.26,-2.05
5,-1.128964482,-0.5822141552,-0.815686338,2.380204,3.133521,1.287484,17.5754717,20.07692308,18.45,-2.5,-1.63
5,3.31440921,3.439199524,3.741604499,0.57306,-0.0065,0.322692,16.89795918,23.10576923,18.93396226,-6.21,-4.17
5,1.141481671,1.639359646,1.582450592,2.948619,1.639115,1.87014,19.81730769,29.12264151,23.64705882,-9.31,-5.48
6,-3.379162617,-3.869751761,-3.547395001,0.432784,0.246028,-0.03312,18.50943396,21.78,26.65384615,-3.27,4.87
6,-0.8204761882,-0.2184857095,0.2043792963,2.758938,2.876161,3.676645,12.97058824,19.05882353,20.07692308,-6.09,1.02
6,2.007202716,3.226180656,2.613236273,1.661733,1.85322,0.640941,17.17346939,29.25,21.11538462,-12.08,-8.13
6,-4.163820473,-4.717966946,-2.204437482,1.814636,0.85683,1.395877,18.5625,21.24,20.5,-2.68,-0.74
6,3.296926524,4.289385437,4.368192918,5.161112,3.543196,3.549383,19.65306122,25.71428571,24.03,-6.06,-1.68
6,-5.168284228,-3.334196685,-3.622573895,4.142624,6.543407,4.496019,15.08823529,21.44117647,21.31132075,-6.35,-0.13
6,1.111534141,1.418018805,1.768397825,4.668224,5.241181,5.816736,7.301886792,10.03846154,13.14,-2.74,3.1
6,-2.242499339,-1.967761957,-1.446272834,1.519878,1.157583,0.893304,13.14,18.66666667,23.64705882,-5.53,4.98
6,-2.064659753,-2.933308471,-0.7692898336,5.04433,3.905225,3.072189,22.5,22.86734694,24.11320755,-0.37,1.25
6,-1.171055246,0.3015954704,-0.1931608069,2.225537,1.593661,1.776842,11.46226415,26.29411765,15.79411765,-14.83,-10.5
6,-2.348384744,-1.06399631,-2.935121727,2.932275,2.510222,2.008322,15.66,18.77884615,18.45,-3.12,-0.33
6,1.889077631,3.678247734,3.040323583,1.494477,0.186671,0.292451,17.20588235,28.56122449,25.96153846,-11.36,-2.6
6,1.306674432,1.306507987,1.371304053,1.271699,0.932469,0.694499,24.88235294,26.19,23.97272727,-1.31,-2.22
6,3.734600802,4.447590143,4.515145073,2.245424,1.173431,1.036747,11.53125,22.75,20.59615385,-11.22,-2.15
6,0.9729544876,0.4996989839,-0.02337857027,2.337656,1.952688,1.420066,12.97058824,18.17647059,21.24,-5.21,3.06
6,1.681576052,2.911419753,1.432507091,2.365122,2.239922,1.95141,10.10377358,12.54807692,15.66,-2.44,3.11
6,0.6442768119,0.1050541316,0.4029132089,0.6488,0.946018,0.380374,21.11538462,18.34615385,21.44117647,2.77,3.1
6,0.1127985534,-0.2591298541,0.1192883226,1.329345,0.692089,0.741613,20.16,25.71428571,18.08490566,-5.55,-7.63
6,2.13930455,3.902823322,3.774328421,1.522631,0.998037,1.002554,19.76470588,29.02040816,21.11538462,-9.26,-7.91
6,1.254049018,1.508670006,0.5618838549,0.399478,0.327264,0.411281,15.66,18.61764706,19.05882353,-2.96,0.44
6,2.743558951,3.849922896,3.543367688,0.697577,0.372094,0.056278,23.02941176,29.11764706,26.23584906,-6.09,-2.88
6,3.223778903,3.883525548,3.828392668,1.664599,1.014535,0.677997,25.41176471,31.94117647,26.5,-6.53,-5.44
6,-1.35581569,-2.030489835,-0.623675919,0.582309,0.263902,0.151266,28.53,28.26,27.16666667,0.27,-1.09